Country,US 2024 Deficit,US 2024 Exports,US 2024 Imports (Customs Basis),Trump Tariffs Alleged,Trump Response,Population,Tarrif Impact,Risk Category
Afghanistan,-11.1,11.4,22.6,0.49,25%,41454761,1.1820113979188059E-8,High Risk
Albania,13.4,141.7,128.3,0.1,10%,2745972,3.641697730348307E-8,Low Risk
Algeria,-1447.1,1014.5,2461.6,0.59,29%,46164219,1.2780460988628443E-8,High Risk
Andorra,1.5,4.9,3.4,0.1,10%,80856,1.2367665974077373E-6,Low Risk
Angola,-1186.9,682.4,1869.2,0.63,32%,36749906,1.71429009913658E-8,High Risk
Antigua and Barbuda,550.0,573.8,23.8,0.1,10%,93316,1.0716275879806251E-6,Low Risk
Argentina,2078.8,9171.0,7092.2,0.1,10%,45538401,2.1959488652225623E-9,Low Risk
Armenia,39.2,160.8,121.6,0.1,10%,2990900,3.343475208131332E-8,Low Risk
Aruba,714.8,725.5,10.7,0.1,10%,107359,9.314542795666875E-7,Low Risk
Australia*,17907.8,34593.3,16685.5,0.1,10%,26658948,3.751085751770851E-9,Low Risk
Azerbaijan,97.3,255.1,157.8,0.1,10%,10153958,9.848376367126986E-9,Low Risk
Bahamas,3847.4,5639.7,1792.4,0.1,10%,399440,2.5035049068696177E-7,Low Risk
Bahrain*,441.9,1646.2,1204.3,0.1,10%,1577059,6.340916858532243E-8,Low Risk
Bangladesh,-6151.8,2214.0,8365.8,0.74,37%,171466990,4.315699482448488E-9,High Risk
Barbados,724.0,772.6,48.6,0.1,10%,282336,3.541879179417432E-7,Low Risk
Belarus,-9.4,10.6,20.0,0.47,24%,9178298,5.1207751153863165E-8,High Risk
Belize,509.3,590.4,81.1,0.1,10%,411106,2.43246267386027E-7,Low Risk
Benin,167.8,216.4,48.6,0.1,10%,14111034,7.086652898717415E-9,Low Risk
Bermuda,517.1,540.4,23.3,0.1,10%,64698,1.545642832854184E-6,Low Risk
Bhutan,0.1,3.4,3.3,0.1,10%,780914,1.2805507392619418E-7,Low Risk
Bolivia,-103.1,401.0,504.1,0.2,10%,12244159,1.6334319082266085E-8,Medium Risk
Bosnia and Herzegovina,-126.1,53.0,179.1,0.7,35%,3185073,2.1977518254683644E-7,High Risk
Botswana,-300.8,104.3,405.1,0.74,37%,2480244,2.983577422221362E-7,High Risk
Brazil,7350.7,49667.0,42316.3,0.1,10%,211140729,4.736177641974515E-10,Low Risk
British Virgin Islands,252.7,312.9,60.2,0.1,10%,38985,2.565089136847506E-6,Low Risk
Brunei,-111.6,127.2,238.8,0.47,23%,458949,1.0240789281597738E-6,High Risk
Burkina Faso,49.8,54.4,4.5,0.1,10%,23025776,4.342958951741735E-9,Low Risk
Burundi,2.9,6.6,3.7,0.1,10%,13689450,7.304895375635983E-9,Low Risk
Cabo Verde,7.8,12.2,4.5,0.1,10%,522331,1.9144948318212017E-7,Low Risk
Cambodia,-12340.2,321.6,12661.8,0.97,49%,17423880,5.567072316843321E-8,High Risk
Cameroon,-55.7,193.1,248.8,0.22,11%,28372687,7.753936030098243E-9,Medium Risk
Canada**,-63335.8,349359.9,412695.7,0.15,10%,40097761,3.740857251356254E-9,Medium Risk
Cayman Islands,1237.1,1286.5,49.4,0.1,10%,73038,1.3691503053205181E-6,Low Risk
Central African Republic,33.6,35.1,1.4,0.1,10%,5152421,1.940835191844766E-8,Low Risk
Chad,-20.9,59.9,80.8,0.26,13%,19319064,1.3458208948425245E-8,Medium Risk
Chile*,1698.3,18167.8,16469.5,0.1,10%,19658835,5.086771418550489E-9,Low Risk
China,-295401.6,143545.7,438947.4,0.67,34%,1410710000,4.749381517108406E-10,High Risk
Colombia*,1347.3,19037.6,17690.3,0.1,10%,52321152,1.9112729016364166E-9,Low Risk
Comoros,2.9,4.7,1.8,0.1,10%,850387,1.1759351918597063E-7,Low Risk
Costa Rica**,-1958.1,9676.8,11634.9,0.17,10%,5105525,3.3297261300258056E-8,Medium Risk
Cote d'Ivoire,-418.1,596.6,1014.7,0.41,21%,31165654,1.3155507662377307E-8,High Risk
Cuba,581.6,586.5,4.9,0.1,10%,11019931,9.074466981689814E-9,Low Risk
Curacao,791.6,823.5,31.9,0.1,10%,147862,6.763062855906183E-7,Low Risk
Djibouti,104.9,145.0,40.1,0.1,10%,1152944,8.6734481466576E-8,Low Risk
Dominica,56.5,58.8,2.3,0.1,10%,66510,1.5035333032626673E-6,Low Risk
Dominican Republic**,5576.2,13081.7,7505.4,0.1,10%,11331265,8.825139999814673E-9,Low Risk
Ecuador,-992.7,7531.7,8524.3,0.12,10%,17980083,6.674051504656569E-9,Medium Risk
Egypt,3546.0,6092.0,2546.0,0.1,10%,114535772,8.730896754247223E-10,Low Risk
El Salvador**,2245.1,4556.4,2311.2,0.1,10%,6309624,1.5848804936712553E-8,Low Risk
Equatorial Guinea,-32.3,95.4,127.6,0.25,13%,1847549,1.3531440844058804E-7,Medium Risk
Eritrea (-),140.0,185.0,216.0,0.1,10%,3470390,2.8815205207483886E-8,Low Risk
Eswatini,23.5,46.1,22.6,0.1,10%,1230506,8.126738106112445E-8,Low Risk
Ethiopia,551.9,1017.7,465.8,0.1,10%,128691692,7.770509381444764E-10,Low Risk
European Union,-235571.2,370189.2,605760.4,0.39,19%,448804042,8.689761310126526E-10,High Risk
Faroe Islands,-248.1,1.4,249.5,0.99,50%,54482,1.8171139091810138E-5,High Risk
Fiji,-164.6,94.7,259.3,0.63,32%,924145,6.81711203328482E-7,High Risk
French Polynesia,104.8,145.2,40.4,0.1,10%,281118,3.5572250798597033E-7,Low Risk
Gabon,-0.6,171.1,171.7,0.1,10%,2484789,4.0244865861849844E-8,Medium Risk
Gambia,78.6,80.6,2.0,0.1,10%,2697845,3.706662169249902E-8,Low Risk
Georgia,1571.0,1736.5,165.4,0.1,10%,3715483,2.6914401169376904E-8,Low Risk
Ghana,-204.4,967.3,1171.7,0.17,10%,33787914,5.031384891058975E-9,Medium Risk
Gibraltar,650.2,650.6,0.4,0.1,10%,38471,2.5993605573029037E-6,Low Risk
Greenland,15.8,48.4,32.6,0.1,10%,56865,1.7585509540138926E-6,Low Risk
Grenada,151.3,165.3,14.1,0.1,10%,117081,8.541095480906382E-7,Low Risk
Guatemala*,4694.9,9714.8,5019.9,0.1,10%,18124838,5.517290692474052E-9,Low Risk
Guinea,132.2,138.3,6.2,0.1,10%,14405468,6.94180848550009E-9,Low Risk
Guinea-Bissau,3.3,3.4,0.1,0.1,10%,2153339,4.64395062737451E-8,Low Risk
Guyana,-4060.6,1314.9,5375.5,0.76,38%,826353,9.197038069686926E-7,High Risk
